,proto_slopes,rulefollower_slopes,exception_slopes,proto_rf,rf_excep,proto_excep
897,0.230472609,-0.114370843,-0.051850215,0.344843452,-0.062520627,0.282322825
898,0.145093588,-0.193425273,-0.128360015,0.338518861,-0.065065258,0.273453604
899,0.101162739,-0.26646645,-0.13497265,0.367629189,-0.1314938,0.236135389
900,0.125093182,-0.364743493,0.108684272,0.489836676,-0.473427766,0.01640891
901,0.135917155,-0.146400884,0.056654506,0.282318039,-0.20305539,0.079262649
902,0.060534114,-0.216303514,-0.089394141,0.276837628,-0.126909373,0.149928255
903,0.10667172,-0.134868262,0.0134066,0.241539982,-0.148274862,0.09326512
904,0.012015481,-0.254063158,-0.076955009,0.266078639,-0.177108148,0.08897049
905,0.15885272,-0.162404355,0.284460462,0.321257075,-0.446864817,-0.125607742
906,0.149966085,-0.483292532,-0.1764672,0.633258616,-0.306825332,0.326433284
907,0.151569925,0.023219267,-0.161807199,0.128350658,0.185026466,0.313377124
908,0.049910032,0.017986925,0.057024216,0.031923107,-0.039037291,-0.007114184
909,-0.053544586,-0.023650183,-0.211182152,-0.029894402,0.187531968,0.157637566
910,0.05586657,0.067554677,-0.138174398,-0.011688107,0.205729075,0.194040967
911,0.152912885,-0.099937235,-0.170005384,0.25285012,0.070068149,0.322918269
912,0.21283595,-0.176728119,-0.094354475,0.38956407,-0.082373644,0.307190425
913,0.08163553,-0.299917764,-0.165103329,0.381553294,-0.134814434,0.246738859
914,0.139046933,0.013028882,0.153279334,0.126018051,-0.140250452,-0.014232401
915,0.076202194,-0.05782731,0.108886283,0.134029504,-0.166713593,-0.032684089
916,0.023632313,0.021884723,-0.189177889,0.00174759,0.211062612,0.212810202
917,-0.006799745,0.016157576,0.078293311,-0.02295732,-0.062135735,-0.085093056
918,0.101256479,-0.08570416,-0.142089735,0.186960639,0.056385576,0.243346215
919,0.085844096,-0.203922584,-0.046299782,0.289766681,-0.157622803,0.132143878
920,0.19262749,-0.131131925,-0.014857653,0.323759415,-0.116274272,0.207485142
921,0.13501459,-0.249197187,-0.039930157,0.384211777,-0.20926703,0.174944747
922,0.176511291,-0.185672836,0.090240025,0.362184127,-0.275912861,0.086271266
923,0.217508298,-0.057145142,0.092790364,0.27465344,-0.149935505,0.124717935
924,0.194280898,-0.126269184,-0.001932996,0.320550083,-0.124336188,0.196213894
925,0.171909772,-0.057713151,0.182185545,0.229622922,-0.239898696,-0.010275774
926,0.090832453,-0.087867379,0.077501604,0.178699832,-0.165368983,0.013330849
927,0.141558342,-0.179333766,0.116892361,0.320892108,-0.296226128,0.024665981
928,0.174605551,0.05108315,0.038960827,0.123522401,0.012122323,0.135644724
929,0.157983419,-0.110166894,0.02059644,0.268150313,-0.130763334,0.137386979
930,0.127555257,0.055737368,-0.079818704,0.07181789,0.135556071,0.207373961
931,-0.035699088,-0.281025405,-0.441699696,0.245326316,0.160674291,0.406000607
932,-0.128991788,-0.264052038,-0.126829167,0.13506025,-0.137222871,-0.002162621
933,-0.069527761,-0.260244698,0.155537455,0.190716938,-0.415782153,-0.225065215
934,0.007062205,-0.285317024,-0.089124569,0.292379228,-0.196192454,0.096186774
935,0.12878006,-0.104887089,0.085575233,0.233667148,-0.190462322,0.043204827
936,0.135526077,0.175290454,0.163082633,-0.039764377,0.012207821,-0.027556556
937,0.13270686,-0.218094651,0.027719474,0.350801511,-0.245814125,0.104987386
938,0.135623483,-0.125541923,-0.089655754,0.261165406,-0.035886169,0.225279237
939,0.126849479,-0.214009247,-0.200183558,0.340858726,-0.013825688,0.327033038
940,0.126635805,-0.242235473,0.185603547,0.368871278,-0.42783902,-0.058967742
941,0.019450321,-0.230446365,0.036902463,0.249896686,-0.267348828,-0.017452142
942,-0.009381196,-0.071736727,0.058655794,0.062355531,-0.130392521,-0.06803699
943,0.034888107,-0.167361198,0.069425683,0.202249305,-0.236786882,-0.034537576
944,0.059885162,0.053843337,0.046611806,0.006041825,0.00723153,0.013273356
945,-0.03849526,-0.18990035,-0.078555365,0.15140509,-0.111344986,0.040060104
946,-0.035050923,-0.234694158,-0.067922912,0.199643235,-0.166771245,0.03287199
947,-0.070826966,-0.062516273,0.178699188,-0.008310694,-0.24121546,-0.249526154
948,-0.059134695,0.00973259,0.212161573,-0.068867285,-0.202428982,-0.271296267
949,0.02968799,0.104123076,-0.075940281,-0.074435086,0.180063357,0.105628271
950,0.027210965,0.153366536,-0.030593995,-0.126155571,0.183960531,0.05780496
951,0.090903075,0.076989636,0.064378929,0.013913439,0.012610706,0.026524146
952,0.064500779,-0.001926989,-0.251938437,0.066427769,0.250011448,0.316439217
953,0.067068286,-0.10175993,-0.042468316,0.168828216,-0.059291614,0.109536601
954,0.051113114,0.026356324,-0.055393118,0.02475679,0.081749442,0.106506232
955,0.069017132,-0.177816791,0.018305462,0.246833923,-0.196122252,0.050711671
956,0.084061372,-0.184582798,0.061244069,0.26864417,-0.245826868,0.022817303
957,-0.048484708,-0.049051984,-0.297710478,0.000567276,0.248658494,0.249225769
958,-0.051112172,0.018125823,0.000160093,-0.069237996,0.01796573,-0.051272265
959,0.117340471,0.027853958,0.146465286,0.089486513,-0.118611328,-0.029124815
960,0.178713528,0.078528102,0.157561315,0.100185426,-0.079033213,0.021152213
961,0.367243652,0.042313549,-0.054133103,0.324930103,0.096446652,0.421376755
962,0.396754718,-0.051154681,-0.057548996,0.447909399,0.006394315,0.454303714
