,node_name,peak_value,parameter,roi
192,t_Intercept,0.3527196943469941,t,24
193,"t_C(type, Treatment('prototype'))[T.exception]",0.031336071406227545,t,24
194,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03212160598604062,t,24
195,t_roi24,-0.09457387879912788,t,24
196,"t_roi24:C(type, Treatment('prototype'))[T.exception]",-0.050543452671482525,t,24
197,"t_roi24:C(type, Treatment('prototype'))[T.rule follower]",0.1420895378957166,t,24
198,v_Intercept,0.038988885265976464,v,25
199,"v_C(type, Treatment('prototype'))[T.exception]",0.07072658510582583,v,25
200,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.06850890889211644,v,25
201,v_roi25,-0.149026653561259,v,25
202,"v_roi25:C(type, Treatment('prototype'))[T.exception]",-0.8246107097383475,v,25
203,"v_roi25:C(type, Treatment('prototype'))[T.rule follower]",-0.5229750836169773,v,25
204,a_Intercept,1.803391448404264,a,25
205,"a_C(type, Treatment('prototype'))[T.exception]",0.08628703184383019,a,25
206,"a_C(type, Treatment('prototype'))[T.rule follower]",0.04371809278842005,a,25
207,a_roi25,1.1262428798020319,a,25
208,"a_roi25:C(type, Treatment('prototype'))[T.exception]",-0.5388453473985682,a,25
209,"a_roi25:C(type, Treatment('prototype'))[T.rule follower]",0.15574307882729865,a,25
210,t_Intercept,0.3570339808923797,t,25
211,"t_C(type, Treatment('prototype'))[T.exception]",0.0118693225106501,t,25
212,"t_C(type, Treatment('prototype'))[T.rule follower]",0.028088428559777338,t,25
213,t_roi25,0.040481116364715575,t,25
214,"t_roi25:C(type, Treatment('prototype'))[T.exception]",0.03328304212329568,t,25
215,"t_roi25:C(type, Treatment('prototype'))[T.rule follower]",-0.01977877703062364,t,25
216,v_Intercept,0.05003413921701815,v,28
217,"v_C(type, Treatment('prototype'))[T.exception]",0.07964289839463283,v,28
218,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.06609274827095851,v,28
219,v_roi28,0.4810927347281677,v,28
220,"v_roi28:C(type, Treatment('prototype'))[T.exception]",0.026684550721511442,v,28
221,"v_roi28:C(type, Treatment('prototype'))[T.rule follower]",-0.30123104353243324,v,28
222,a_Intercept,1.7334554499537334,a,28
223,"a_C(type, Treatment('prototype'))[T.exception]",0.09314128283521277,a,28
224,"a_C(type, Treatment('prototype'))[T.rule follower]",0.06318615406230225,a,28
225,a_roi28,-2.133060579306292,a,28
226,"a_roi28:C(type, Treatment('prototype'))[T.exception]",0.6254396508781981,a,28
227,"a_roi28:C(type, Treatment('prototype'))[T.rule follower]",0.9214600207459274,a,28
228,t_Intercept,0.3554501300893256,t,28
229,"t_C(type, Treatment('prototype'))[T.exception]",0.005167741606359869,t,28
230,"t_C(type, Treatment('prototype'))[T.rule follower]",0.027566935679483318,t,28
231,t_roi28,0.2269197127452436,t,28
232,"t_roi28:C(type, Treatment('prototype'))[T.exception]",-0.18273677756820814,t,28
233,"t_roi28:C(type, Treatment('prototype'))[T.rule follower]",-0.2327891318133841,t,28
234,v_Intercept,0.040286725532451495,v,29
235,"v_C(type, Treatment('prototype'))[T.exception]",0.13434728897715315,v,29
236,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.03101681644820237,v,29
237,v_roi29,0.00824210190089536,v,29
238,"v_roi29:C(type, Treatment('prototype'))[T.exception]",2.0342988258379298,v,29
239,"v_roi29:C(type, Treatment('prototype'))[T.rule follower]",1.313943102283197,v,29
240,a_Intercept,1.7489020383349307,a,29
241,"a_C(type, Treatment('prototype'))[T.exception]",0.09847423556581393,a,29
242,"a_C(type, Treatment('prototype'))[T.rule follower]",0.00905144080718398,a,29
243,a_roi29,-2.4173807009940864,a,29
244,"a_roi29:C(type, Treatment('prototype'))[T.exception]",1.4748791329093192,a,29
245,"a_roi29:C(type, Treatment('prototype'))[T.rule follower]",-1.8520117729325247,a,29
246,t_Intercept,0.35518126884532475,t,29
247,"t_C(type, Treatment('prototype'))[T.exception]",0.013582573997431985,t,29
248,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03317422018072631,t,29
249,t_roi29,0.4944362685111306,t,29
250,"t_roi29:C(type, Treatment('prototype'))[T.exception]",-0.16718749829287582,t,29
251,"t_roi29:C(type, Treatment('prototype'))[T.rule follower]",-0.3244358347816674,t,29
252,v_Intercept,0.06935385917438874,v,31
253,"v_C(type, Treatment('prototype'))[T.exception]",0.12365306862388392,v,31
254,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.0620641236768478,v,31
255,v_roi31,-0.17767442474670914,v,31
256,"v_roi31:C(type, Treatment('prototype'))[T.exception]",-0.4823161829440532,v,31
257,"v_roi31:C(type, Treatment('prototype'))[T.rule follower]",0.1045232113709077,v,31
258,a_Intercept,1.747123437778458,a,31
259,"a_C(type, Treatment('prototype'))[T.exception]",0.10462618294517648,a,31
260,"a_C(type, Treatment('prototype'))[T.rule follower]",-0.0090061141297694,a,31
261,a_roi31,0.7999588974355849,a,31
262,"a_roi31:C(type, Treatment('prototype'))[T.exception]",-0.10414820333929577,a,31
263,"a_roi31:C(type, Treatment('prototype'))[T.rule follower]",0.5428002764255693,a,31
264,t_Intercept,0.3580674880553021,t,31
265,"t_C(type, Treatment('prototype'))[T.exception]",0.006416617754743045,t,31
266,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03377540593965355,t,31
267,t_roi31,0.04550022658150893,t,31
268,"t_roi31:C(type, Treatment('prototype'))[T.exception]",0.0061712514467158214,t,31
269,"t_roi31:C(type, Treatment('prototype'))[T.rule follower]",-0.1277844753840281,t,31
270,v_Intercept,0.03654321271143568,v,32
271,"v_C(type, Treatment('prototype'))[T.exception]",0.10507163524777402,v,32
272,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.055094468020549216,v,32
273,v_roi32,0.19314515459542314,v,32
274,"v_roi32:C(type, Treatment('prototype'))[T.exception]",-1.6019055668699635,v,32
275,"v_roi32:C(type, Treatment('prototype'))[T.rule follower]",-0.9714021247260098,v,32
276,a_Intercept,1.7812785619260023,a,32
277,"a_C(type, Treatment('prototype'))[T.exception]",0.09826239984757584,a,32
278,"a_C(type, Treatment('prototype'))[T.rule follower]",0.05509907013929377,a,32
279,a_roi32,0.15769436417945892,a,32
280,"a_roi32:C(type, Treatment('prototype'))[T.exception]",0.44630450238812136,a,32
281,"a_roi32:C(type, Treatment('prototype'))[T.rule follower]",0.9333555149877348,a,32
282,t_Intercept,0.3569149559201389,t,32
283,"t_C(type, Treatment('prototype'))[T.exception]",0.0097798623435641,t,32
284,"t_C(type, Treatment('prototype'))[T.rule follower]",0.032056062556666584,t,32
285,t_roi32,0.07931912455595946,t,32
286,"t_roi32:C(type, Treatment('prototype'))[T.exception]",-0.2519764812587544,t,32
287,"t_roi32:C(type, Treatment('prototype'))[T.rule follower]",-0.09170957177277116,t,32
288,v_Intercept,0.054087797910275286,v,33
289,"v_C(type, Treatment('prototype'))[T.exception]",0.10105331996432657,v,33
290,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.05236639772614904,v,33
291,v_roi33,-0.2446138599416728,v,33
