,node_name,peak_value,parameter,roi
787,"t_C(type, Treatment('prototype'))[T.exception]",0.012970581598774684,t,83
788,"t_C(type, Treatment('prototype'))[T.rule follower]",0.02415111202245044,t,83
789,t_roi83,0.1390161790189021,t,83
790,"t_roi83:C(type, Treatment('prototype'))[T.exception]",0.04551050368038634,t,83
791,"t_roi83:C(type, Treatment('prototype'))[T.rule follower]",-0.2298108358014451,t,83
792,v_Intercept,0.05208434578532106,v,88
793,"v_C(type, Treatment('prototype'))[T.exception]",0.10686370134450912,v,88
794,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.054433904991282256,v,88
795,v_roi88,-0.6071593935661915,v,88
796,"v_roi88:C(type, Treatment('prototype'))[T.exception]",0.6649692988305369,v,88
797,"v_roi88:C(type, Treatment('prototype'))[T.rule follower]",0.7252280896106941,v,88
798,a_Intercept,1.7797039333822204,a,88
799,"a_C(type, Treatment('prototype'))[T.exception]",0.09226253251770984,a,88
800,"a_C(type, Treatment('prototype'))[T.rule follower]",0.01523355452377864,a,88
801,a_roi88,1.140814622466365,a,88
802,"a_roi88:C(type, Treatment('prototype'))[T.exception]",-0.5110788586452326,a,88
803,"a_roi88:C(type, Treatment('prototype'))[T.rule follower]",0.37512821916701866,a,88
804,t_Intercept,0.3544851240501111,t,88
805,"t_C(type, Treatment('prototype'))[T.exception]",0.002988225136042459,t,88
806,"t_C(type, Treatment('prototype'))[T.rule follower]",0.0335373365952304,t,88
807,t_roi88,-0.08803979395111894,t,88
808,"t_roi88:C(type, Treatment('prototype'))[T.exception]",0.02286539663314241,t,88
809,"t_roi88:C(type, Treatment('prototype'))[T.rule follower]",0.012182224096644462,t,88
810,v_Intercept,0.06374689693455317,v,90
811,"v_C(type, Treatment('prototype'))[T.exception]",0.06169299374628062,v,90
812,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.040138122103997136,v,90
813,v_roi90,0.17148057823524132,v,90
814,"v_roi90:C(type, Treatment('prototype'))[T.exception]",-0.3923360965677611,v,90
815,"v_roi90:C(type, Treatment('prototype'))[T.rule follower]",0.2664628856357396,v,90
816,a_Intercept,1.7579520399006268,a,90
817,"a_C(type, Treatment('prototype'))[T.exception]",0.07029517400427326,a,90
818,"a_C(type, Treatment('prototype'))[T.rule follower]",0.01946603500126537,a,90
819,a_roi90,-0.7522487108244501,a,90
820,"a_roi90:C(type, Treatment('prototype'))[T.exception]",-0.7614965141119461,a,90
821,"a_roi90:C(type, Treatment('prototype'))[T.rule follower]",-0.71811535178875,a,90
822,t_Intercept,0.3540786009599581,t,90
823,"t_C(type, Treatment('prototype'))[T.exception]",0.00991283832666251,t,90
824,"t_C(type, Treatment('prototype'))[T.rule follower]",0.0250673933332115,t,90
825,t_roi90,0.2336228652734024,t,90
826,"t_roi90:C(type, Treatment('prototype'))[T.exception]",-0.029278076443953638,t,90
827,"t_roi90:C(type, Treatment('prototype'))[T.rule follower]",0.0068236441989508725,t,90
828,v_Intercept,0.05560021743583042,v,91
829,"v_C(type, Treatment('prototype'))[T.exception]",0.05613816182072101,v,91
830,"v_C(type, Treatment('prototype'))[T.rule follower]",0.00710928817994344,v,91
831,v_roi91,0.2289780782707925,v,91
832,"v_roi91:C(type, Treatment('prototype'))[T.exception]",-0.977419757858354,v,91
833,"v_roi91:C(type, Treatment('prototype'))[T.rule follower]",1.0648840782703348,v,91
834,a_Intercept,1.7414500940690316,a,91
835,"a_C(type, Treatment('prototype'))[T.exception]",0.06832538420543348,a,91
836,"a_C(type, Treatment('prototype'))[T.rule follower]",0.04163560722004658,a,91
837,a_roi91,-0.7004527250552901,a,91
838,"a_roi91:C(type, Treatment('prototype'))[T.exception]",-0.6179478811249788,a,91
839,"a_roi91:C(type, Treatment('prototype'))[T.rule follower]",-0.6794565262359491,a,91
840,t_Intercept,0.3586305461567893,t,91
841,"t_C(type, Treatment('prototype'))[T.exception]",0.0180064553153515,t,91
842,"t_C(type, Treatment('prototype'))[T.rule follower]",0.028176558148295706,t,91
843,t_roi91,0.13616638814389392,t,91
844,"t_roi91:C(type, Treatment('prototype'))[T.exception]",0.1566928092390517,t,91
845,"t_roi91:C(type, Treatment('prototype'))[T.rule follower]",0.032228572333426415,t,91
846,v_Intercept,0.08775931385419891,v,92
847,"v_C(type, Treatment('prototype'))[T.exception]",0.1069912708440924,v,92
848,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.04249422027157404,v,92
849,v_roi92,0.7104479468319429,v,92
850,"v_roi92:C(type, Treatment('prototype'))[T.exception]",0.13043311549272696,v,92
851,"v_roi92:C(type, Treatment('prototype'))[T.rule follower]",-0.12612945594752234,v,92
852,a_Intercept,1.71084891624128,a,92
853,"a_C(type, Treatment('prototype'))[T.exception]",0.042178750555285416,a,92
854,"a_C(type, Treatment('prototype'))[T.rule follower]",-0.04598292176808401,a,92
855,a_roi92,-1.3345468545295869,a,92
856,"a_roi92:C(type, Treatment('prototype'))[T.exception]",-0.08303497679295835,a,92
857,"a_roi92:C(type, Treatment('prototype'))[T.rule follower]",-1.1568305219772397,a,92
858,t_Intercept,0.36630834512681903,t,92
859,"t_C(type, Treatment('prototype'))[T.exception]",0.04110228866175762,t,92
860,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03958080740695572,t,92
861,t_roi92,0.20682153771198464,t,92
862,"t_roi92:C(type, Treatment('prototype'))[T.exception]",0.153087626234635,t,92
863,"t_roi92:C(type, Treatment('prototype'))[T.rule follower]",-0.08547855486320571,t,92
864,v_Intercept,0.06753562404372428,v,93
865,"v_C(type, Treatment('prototype'))[T.exception]",0.10278918485247933,v,93
866,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.04338919132861607,v,93
867,v_roi93,0.2538116482076095,v,93
868,"v_roi93:C(type, Treatment('prototype'))[T.exception]",0.42267025444874906,v,93
869,"v_roi93:C(type, Treatment('prototype'))[T.rule follower]",0.430521456017146,v,93
870,a_Intercept,1.7384965892470046,a,93
871,"a_C(type, Treatment('prototype'))[T.exception]",0.06383596530252299,a,93
872,"a_C(type, Treatment('prototype'))[T.rule follower]",0.03214479068785493,a,93
873,a_roi93,-0.9026279447847934,a,93
874,"a_roi93:C(type, Treatment('prototype'))[T.exception]",-0.29962009994701644,a,93
875,"a_roi93:C(type, Treatment('prototype'))[T.rule follower]",-0.3437607564887619,a,93
876,t_Intercept,0.35515309469925616,t,93
877,"t_C(type, Treatment('prototype'))[T.exception]",0.031791181812458644,t,93
878,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03195661112825658,t,93
879,t_roi93,0.07133818654613022,t,93
880,"t_roi93:C(type, Treatment('prototype'))[T.exception]",0.2039295362949617,t,93
881,"t_roi93:C(type, Treatment('prototype'))[T.rule follower]",0.07121581925079362,t,93
882,v_Intercept,0.06538198572342407,v,94
883,"v_C(type, Treatment('prototype'))[T.exception]",0.08874500530149315,v,94
884,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.034975293032385724,v,94
885,v_roi94,0.6492186453526005,v,94
886,"v_roi94:C(type, Treatment('prototype'))[T.exception]",-0.059651234701793225,v,94
887,"v_roi94:C(type, Treatment('prototype'))[T.rule follower]",-0.12681410449457653,v,94
888,a_Intercept,1.7550477972579288,a,94
889,"a_C(type, Treatment('prototype'))[T.exception]",0.10040075700984047,a,94
890,"a_C(type, Treatment('prototype'))[T.rule follower]",0.0434869834943309,a,94
891,a_roi94,-0.9337214557045151,a,94
892,"a_roi94:C(type, Treatment('prototype'))[T.exception]",-0.4867219661713045,a,94
893,"a_roi94:C(type, Treatment('prototype'))[T.rule follower]",-0.05472669166829869,a,94
894,t_Intercept,0.3531359264186697,t,94
895,"t_C(type, Treatment('prototype'))[T.exception]",0.010411036723543349,t,94
896,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03327080728547216,t,94
897,t_roi94,0.07427683523690283,t,94
898,"t_roi94:C(type, Treatment('prototype'))[T.exception]",-0.07816670151596583,t,94
899,"t_roi94:C(type, Treatment('prototype'))[T.rule follower]",-0.193111542669432,t,94
900,v_Intercept,0.05708615510145047,v,99
901,"v_C(type, Treatment('prototype'))[T.exception]",0.10412763517335633,v,99
902,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.033705083742011366,v,99
903,v_roi99,-0.06273120458588323,v,99
904,"v_roi99:C(type, Treatment('prototype'))[T.exception]",1.4624923205433231,v,99
905,"v_roi99:C(type, Treatment('prototype'))[T.rule follower]",0.5831766488464556,v,99
906,a_Intercept,1.7408962829528785,a,99
907,"a_C(type, Treatment('prototype'))[T.exception]",0.08504156166436289,a,99
908,"a_C(type, Treatment('prototype'))[T.rule follower]",0.04320805914761039,a,99
909,a_roi99,-0.8918544734134262,a,99
910,"a_roi99:C(type, Treatment('prototype'))[T.exception]",-0.777036973500774,a,99
911,"a_roi99:C(type, Treatment('prototype'))[T.rule follower]",-0.6640306563304366,a,99
912,t_Intercept,0.3545650159340971,t,99
913,"t_C(type, Treatment('prototype'))[T.exception]",0.018113052664976783,t,99
914,"t_C(type, Treatment('prototype'))[T.rule follower]",0.020700316780302173,t,99
915,t_roi99,-0.007402154968493058,t,99
916,"t_roi99:C(type, Treatment('prototype'))[T.exception]",0.07911531077418882,t,99
917,"t_roi99:C(type, Treatment('prototype'))[T.rule follower]",0.2300760403242705,t,99
918,v_Intercept,0.049467528768469916,v,105
919,"v_C(type, Treatment('prototype'))[T.exception]",0.07184970271123836,v,105
920,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.03105270640713753,v,105
921,v_roi105,0.3898064498015321,v,105
922,"v_roi105:C(type, Treatment('prototype'))[T.exception]",-0.3280186425981402,v,105
923,"v_roi105:C(type, Treatment('prototype'))[T.rule follower]",-0.14555321793903175,v,105
924,a_Intercept,1.7519392437513737,a,105
925,"a_C(type, Treatment('prototype'))[T.exception]",0.06912804425512065,a,105
926,"a_C(type, Treatment('prototype'))[T.rule follower]",0.040506182106537884,a,105
927,a_roi105,-1.7740555478852558,a,105
928,"a_roi105:C(type, Treatment('prototype'))[T.exception]",-0.7261265144314795,a,105
929,"a_roi105:C(type, Treatment('prototype'))[T.rule follower]",-0.21766061014176202,a,105
930,t_Intercept,0.3607573972336189,t,105
931,"t_C(type, Treatment('prototype'))[T.exception]",0.018942151420383885,t,105
932,"t_C(type, Treatment('prototype'))[T.rule follower]",0.028044945613274613,t,105
933,t_roi105,0.3454437557183237,t,105
934,"t_roi105:C(type, Treatment('prototype'))[T.exception]",0.10937331173716812,t,105
935,"t_roi105:C(type, Treatment('prototype'))[T.rule follower]",-0.4322650836747507,t,105
936,v_Intercept,0.03313544655521688,v,106
937,"v_C(type, Treatment('prototype'))[T.exception]",0.11180267257145292,v,106
938,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.05390559848434548,v,106
939,v_roi106,-0.5828450286239848,v,106
940,"v_roi106:C(type, Treatment('prototype'))[T.exception]",1.3630212161083062,v,106
941,"v_roi106:C(type, Treatment('prototype'))[T.rule follower]",0.6403743931788726,v,106
942,a_Intercept,1.7510382364279975,a,106
943,"a_C(type, Treatment('prototype'))[T.exception]",0.10088869171484374,a,106
944,"a_C(type, Treatment('prototype'))[T.rule follower]",0.03158777305329037,a,106
945,a_roi106,-1.682654346519731,a,106
946,"a_roi106:C(type, Treatment('prototype'))[T.exception]",-0.014415148722439762,a,106
947,"a_roi106:C(type, Treatment('prototype'))[T.rule follower]",-0.6209688994197651,a,106
948,t_Intercept,0.3640488740768462,t,106
949,"t_C(type, Treatment('prototype'))[T.exception]",0.0072782705123286265,t,106
950,"t_C(type, Treatment('prototype'))[T.rule follower]",0.021664582134352024,t,106
951,t_roi106,0.3325411089496305,t,106
952,"t_roi106:C(type, Treatment('prototype'))[T.exception]",0.03697968867360124,t,106
953,"t_roi106:C(type, Treatment('prototype'))[T.rule follower]",0.17405315299802648,t,106
