,node_name,peak_value,parameter
10,"a_roi24:C(type, Treatment('prototype'))[T.exception]",-0.5046582654343621,1
11,"a_roi24:C(type, Treatment('prototype'))[T.rule follower]",-0.6667970833237065,1
12,t_Intercept,0.3527196943469941,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.031336071406227545,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03212160598604062,1
15,t_roi24,-0.09457387879912788,1
16,"t_roi24:C(type, Treatment('prototype'))[T.exception]",-0.050543452671482525,1
17,"t_roi24:C(type, Treatment('prototype'))[T.rule follower]",0.1420895378957166,1
0,v_Intercept,0.038988885265976464,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.07072658510582583,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.06850890889211644,2
3,v_roi25,-0.149026653561259,3
4,"v_roi25:C(type, Treatment('prototype'))[T.exception]",-0.8246107097383475,4
5,"v_roi25:C(type, Treatment('prototype'))[T.rule follower]",-0.5229750836169773,5
6,a_Intercept,1.8033914484042641,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.08628703184383019,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.04371809278842005,8
9,a_roi25,1.126242879802032,9
10,"a_roi25:C(type, Treatment('prototype'))[T.exception]",-0.5388453473985682,1
11,"a_roi25:C(type, Treatment('prototype'))[T.rule follower]",0.15574307882729865,1
12,t_Intercept,0.3570339808923797,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.0118693225106501,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.028088428559777338,1
15,t_roi25,0.040481116364715575,1
16,"t_roi25:C(type, Treatment('prototype'))[T.exception]",0.033283042123295685,1
17,"t_roi25:C(type, Treatment('prototype'))[T.rule follower]",-0.01977877703062364,1
0,v_Intercept,0.05003413921701815,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.07964289839463283,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.06609274827095851,2
3,v_roi28,0.4810927347281677,3
4,"v_roi28:C(type, Treatment('prototype'))[T.exception]",0.02668455072151144,4
5,"v_roi28:C(type, Treatment('prototype'))[T.rule follower]",-0.30123104353243324,5
6,a_Intercept,1.7334554499537334,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.09314128283521277,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.06318615406230225,8
9,a_roi28,-2.133060579306292,9
10,"a_roi28:C(type, Treatment('prototype'))[T.exception]",0.6254396508781981,1
11,"a_roi28:C(type, Treatment('prototype'))[T.rule follower]",0.9214600207459274,1
12,t_Intercept,0.3554501300893256,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.005167741606359869,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.027566935679483318,1
15,t_roi28,0.2269197127452436,1
16,"t_roi28:C(type, Treatment('prototype'))[T.exception]",-0.18273677756820814,1
17,"t_roi28:C(type, Treatment('prototype'))[T.rule follower]",-0.2327891318133841,1
0,v_Intercept,0.040286725532451495,0
