,proto_slopes,rulefollower_slopes,exception_slopes,proto_rf,rf_excep,proto_excep
91,1.044927318,0.834525066,0.844250488,0.210402252,-0.009725421,0.200676831
92,0.950170389,0.744268672,0.774972081,0.205901717,-0.030703409,0.175198308
93,0.992783577,1.02931406,0.77071969,-0.036530483,0.258594371,0.222063887
94,0.933423264,1.106726253,0.935021218,-0.173302989,0.171705035,-0.001597954
95,0.875572483,0.958628119,0.854452845,-0.083055635,0.104175274,0.021119639
96,0.95217236,1.448846203,1.243401873,-0.496673843,0.205444331,-0.291229512
97,0.957961597,1.462203264,1.037213235,-0.504241667,0.424990029,-0.079251638
98,0.882556751,0.990862178,1.099243079,-0.108305427,-0.108380901,-0.216686328
99,0.846085137,1.31367846,1.148863229,-0.467593323,0.164815231,-0.302778092
100,1.014700853,1.198460466,1.066214443,-0.183759612,0.132246022,-0.05151359
101,0.953862493,1.030285737,1.065830802,-0.076423243,-0.035545066,-0.111968309
102,1.011363256,1.294013962,1.051080229,-0.282650707,0.242933733,-0.039716973
103,1.046693246,1.09853677,1.185560704,-0.051843524,-0.087023934,-0.138867458
104,0.96839832,0.724809809,0.976729243,0.243588511,-0.251919434,-0.008330922
105,0.999908455,0.84376955,0.897038308,0.156138905,-0.053268758,0.102870148
106,0.901922516,0.726552499,1.394331216,0.175370018,-0.667778718,-0.4924087
107,0.849269266,0.949197653,1.450115426,-0.099928387,-0.500917774,-0.60084616
108,0.809212724,0.919587649,0.920037975,-0.110374925,-0.000450326,-0.110825251
109,0.784160578,0.733174456,0.799557214,0.050986122,-0.066382757,-0.015396636
110,0.726046469,0.750178739,0.801918614,-0.02413227,-0.051739876,-0.075872145
111,0.82249622,0.63877228,0.772009491,0.183723941,-0.133237211,0.050486729
112,0.899437886,0.719496197,1.240950282,0.17994169,-0.521454085,-0.341512396
113,0.895433993,1.182075787,1.286672419,-0.286641794,-0.104596632,-0.391238426
114,0.829778437,0.965799119,1.322384481,-0.136020682,-0.356585362,-0.492606044
115,0.905586951,1.097648615,0.801714361,-0.192061665,0.295934254,0.10387259
116,0.801995812,0.983534458,0.821569777,-0.181538647,0.161964681,-0.019573966
117,0.890161538,1.121864447,1.016050331,-0.231702909,0.105814116,-0.125888793
118,0.728144338,1.060981043,0.639958698,-0.332836705,0.421022345,0.08818564
119,0.750095668,0.924430026,0.557876984,-0.174334358,0.366553042,0.192218684
120,0.828265766,1.052355206,0.514683595,-0.22408944,0.53767161,0.313582171
121,0.87977624,1.27817955,0.460093563,-0.398403309,0.818085987,0.419682677
122,0.880125411,0.858907925,0.608585755,0.021217486,0.25032217,0.271539656
123,0.781531919,0.99710963,0.6293914,-0.215577711,0.36771823,0.152140519
124,1.211123086,0.886695613,0.808663239,0.324427473,0.078032374,0.402459847
125,1.188005967,0.967472237,0.8055854,0.22053373,0.161886837,0.382420567
126,1.131477979,0.955468473,0.497516523,0.176009506,0.45795195,0.633961456
127,1.127634528,1.15875671,0.727479641,-0.031122182,0.431277069,0.400154887
128,1.162664906,1.194013413,1.246309161,-0.031348507,-0.052295748,-0.083644255
129,1.0416721,1.085698116,1.226090151,-0.044026016,-0.140392036,-0.184418052
130,0.868995372,0.797385632,1.152057876,0.07160974,-0.354672245,-0.283062505
131,0.834175183,0.823050723,1.388727241,0.011124459,-0.565676518,-0.554552059
132,0.80953423,0.485561749,0.914737235,0.323972482,-0.429175486,-0.105203004
133,1.139104002,0.712348616,1.241738781,0.426755386,-0.529390165,-0.102634779
134,1.152242904,0.431027962,1.125980501,0.721214941,-0.694952539,0.026262402
135,0.972444762,0.687940754,1.01289353,0.284504008,-0.324952776,-0.040448768
136,1.040829312,0.845070931,0.792168481,0.195758381,0.052902449,0.24866083
137,1.083134745,0.774732894,0.959714259,0.308401852,-0.184981365,0.123420486
138,1.106778732,0.709881817,0.886266512,0.396896915,-0.176384696,0.220512219
139,1.049042013,0.795793924,0.692797316,0.25324809,0.102996608,0.356244697
140,0.992912457,0.895805223,0.804326893,0.097107234,0.091478329,0.188585563
141,1.05546701,0.969758511,0.911973835,0.085708499,0.057784676,0.143493175
142,1.196601008,1.010427723,1.092342627,0.186173284,-0.081914903,0.104258381
